Country Name,Year,Renewable_Share,GDP_per_Capita,Electricity_Access,Urban_Population,CO2_Emissions,Energy_Consumption
Mexico,2013,9.2,18170.264789912,99.1,90882630.0,4.1862144,1252.5109
North Macedonia,2013,21.2,13662.7566550362,99.7,1126302.0,3.701642,6725.526
Malaysia,2013,2.8,23160.8924510627,99.6,21872803.0,8.009178,5803.3555
North America,2013,10.3906457230113,52403.75806746,100.0,284017766.0,12.050421,9695.052
Netherlands,2013,5.0,49622.0519614799,100.0,14985352.0,9.720324,5610.5425
Norway,2013,56.6,67377.9262258772,100.0,4062296.0,8.7673025,1777.0775
New Zealand,2013,28.3,36262.704728265,100.0,3807236.0,7.9075756,4013.9377
Oman,2013,0.0,47013.4730934385,100.0,2932615.0,17.107052,136.269
Pakistan,2013,48.1,4173.93858568758,89.3,74786751.0,0.7020431,288.72354
Peru,2013,28.4,11290.5547403874,92.1,23648756.0,1.4326204,343.3712
Philippines,2013,33.1,6372.83382112545,87.5,50151501.0,0.92896587,1139.6853
Poland,2013,11.4,24433.8914344877,100.0,23026993.0,8.409914,16226.716
Portugal,2013,30.2,27966.0874254705,100.0,6393646.0,4.603641,2946.507
Qatar,2013,0.0,169203.349850341,100.0,1894114.0,44.982407,37.219612
Romania,2013,23.1,19678.1108930755,98.1,10773244.0,3.927419,3407.0598
Saudi Arabia,2013,0.0,62202.8859202572,100.0,22819413.0,20.807848,40.996456
Singapore,2013,0.6,83088.3185411658,100.0,5399162.0,8.726994,569.0195
Slovenia,2013,22.5,29634.0657611471,100.0,1030938.0,7.3606315,7549.2705
Sweden,2013,47.3,46098.2321368832,100.0,8249123.0,4.698226,2542.7268
Thailand,2013,23.2,15215.9492506383,99.4,32011507.0,3.776263,2699.3337
Turkmenistan,2013,0.1,11722.8086272577,99.9,2790234.0,10.832779,0.0
Trinidad and Tobago,2013,0.4,31746.2052441651,100.0,722903.0,32.420662,0.0
Ukraine,2013,3.5,10903.8251953125,100.0,31796395.0,6.4504905,10445.043
United States,2013,8.9,53297.3862901595,100.0,255474236.0,17.09857,15689.168
Uzbekistan,2013,1.2,6412.7238692872,99.8,15197230.0,3.7812703,671.82874
World,2013,17.1692464159295,14720.7763726185,85.7106877963555,3882342728.0,4.837743,6136.414
South Africa,2013,7.8,13369.4382039605,85.2,34476291.0,8.343052,18793.617
United Arab Emirates,2014,0.1,87477.7341963514,100.0,6781526.0,26.045097,2785.7908
Argentina,2014,9.8,19487.4181748868,100.0,39322940.0,4.3821793,369.36804
Australia,2014,9.3,47108.5906459966,100.0,20358615.0,16.639103,22118.041
Austria,2014,35.7,48355.4977624407,100.0,5761563.0,7.5058665,4097.1167
Azerbaijan,2014,2.1,17563.6122454385,100.0,5209197.0,3.5660133,2.4746127
Belgium,2014,9.1,45147.6429534057,100.0,9638089.0,8.660123,3539.0159
Bangladesh,2014,35.4,3972.50647733491,62.4,46116983.0,0.4276385,59.19698
Bulgaria,2014,17.1,17990.7621498811,95.9,5169684.0,6.253115,10223.877
Belarus,2014,6.7,19037.8847440186,96.8,7213046.0,6.7245016,1022.565
Brazil,2014,41.7,15827.3081625749,99.7,170939000.0,2.7814436,1018.41486
Canada,2014,22.2,45758.1007297304,100.0,28776424.0,15.853792,6387.037
Switzerland,2014,22.2,63417.0438110319,100.0,6120218.0,4.791576,193.31958
Chile,2014,27.0,22553.6161787372,100.0,15597831.0,4.3431134,4957.28
China,2014,11.9,12941.5964809146,100.0,764815456.0,7.187588,16430.47
Colombia,2014,32.1,13355.3624162195,97.8,35904667.0,1.9766101,1335.0446
Cyprus,2014,9.5,29892.7109375,100.0,806686.0,5.766146,21.45937
Czechia,2014,14.8,32743.489773169,100.0,7693986.0,9.910655,18107.045
Germany,2014,14.0,47938.7968210418,100.0,65252249.0,9.739761,11377.975
Denmark,2014,30.2,47879.5955558233,100.0,4948334.0,6.6571136,5290.3877
Algeria,2014,0.1,14694.143827383,99.3,27265874.0,3.8881397,53.099556
Ecuador,2014,12.2,11835.6091276538,99.0,10089820.0,2.7289972,8.639086
Spain,2014,17.3,33760.9555646369,100.0,36759579.0,5.4292984,2897.2822
Estonia,2014,25.3,29403.6584494815,100.0,897398.0,14.290275,36033.168
Finland,2014,41.2,41547.0984485393,100.0,3877014.0,8.719286,9525.396
France,2014,13.2,40218.1258637776,100.0,51293995.0,5.067184,1657.1896
United Kingdom,2014,6.6,41266.8197795309,100.0,52752909.0,6.764833,5414.156
Greece,2014,16.4,26450.181326726,100.0,8421257.0,7.218808,7169.4487
Croatia,2014,33.6,22706.1799469484,100.0,2330172.0,4.18296,1782.4626
Hungary,2014,15.7,25796.2100959256,100.0,6913324.0,4.424574,2663.6414
Indonesia,2014,29.3,10064.677127417,97.0,135911187.0,1.9238018,1811.9375
India,2014,33.9,5191.59149903249,85.1,422931498.0,1.6368889,3353.768
Ireland,2014,8.8,52640.7843918553,100.0,2912736.0,7.910693,5020.7695
Iraq,2014,1.0,13168.245587417,99.2,25463207.0,3.7623115,0.0
Iceland,2014,77.6,45996.9687476901,100.0,306498.0,10.519396,3188.9778
Israel,2014,3.7,34816.2422460071,100.0,7535046.0,7.6329613,9701.223
Italy,2014,17.1,36665.68576775,100.0,41971609.0,5.7593956,2529.4573
Japan,2014,5.6,39555.4120089198,100.0,116145580.0,9.885529,10869.657
Kazakhstan,2014,1.3,23958.1128890603,100.0,9897380.0,16.790108,24175.588
Kuwait,2014,0.0,68336.5991533112,100.0,3665876.0,20.457846,690.97296
Sri Lanka,2014,54.2,11720.5978110374,92.7,3867905.0,0.79248416,496.91257
Lithuania,2014,27.7,26274.7488764946,100.0,1972409.0,4.379493,902.03577
Luxembourg,2014,6.8,105296.284588232,100.0,503234.0,17.62919,1116.2426
Latvia,2014,40.2,21553.6623204436,100.0,1353152.0,3.5966146,349.35468
Morocco,2014,11.1,7237.27734375,97.3,20626525.0,1.6715473,1372.6989
Mexico,2014,9.8,18820.7991098584,99.2,92202901.0,4.040969,1235.0441
North Macedonia,2014,21.2,14485.1215168988,99.8,1127588.0,3.5872626,6271.161
Malaysia,2014,3.0,24306.5212338415,99.7,22402109.0,7.9832,5814.4937
North America,2014,10.4893842157596,54217.9772444619,100.0,286238881.0,12.008157,9559.55
Netherlands,2014,5.6,49751.3092860822,100.0,15150929.0,9.248505,6183.5015
Norway,2014,55.8,66332.4614374198,100.0,4141211.0,8.754434,1924.883
New Zealand,2014,29.0,37331.3155732447,100.0,3861954.0,7.8265586,3650.2258
Oman,2014,0.0,44235.8336329334,100.0,3077446.0,16.537405,103.86793
